SEMUA KATA BERDASARKAN SKOR TF-IDF
==================================================

Total kata unik: 1000

573. semenjak             : 0.7354
574. pasar                : 0.7350
575. santai               : 0.7300
576. wooiii               : 0.7273
577. loker                : 0.7273
578. joko                 : 0.7273
579. lewat                : 0.7248
580. biaya                : 0.7247
581. ladi                 : 0.7233
582. konten               : 0.7227
583. mantan               : 0.7190
584. penuh                : 0.7181
585. komennya             : 0.7138
586. gudang               : 0.7137
587. rasain               : 0.7136
588. subsidi              : 0.7133
589. air                  : 0.7131
590. makassar             : 0.7098
591. kent                 : 0.7071
592. liandi               : 0.7071
593. macet                : 0.7071
594. kabarin              : 0.7064
595. thn                  : 0.7029
596. cerita               : 0.7009
597. tapi                 : 0.7006
598. kurang               : 0.6971
599. intonasi             : 0.6953
600. aje                  : 0.6917
601. idup                 : 0.6915
602. jayabaya             : 0.6862
603. keinget              : 0.6850
604. ekonomi              : 0.6832
605. masadepan            : 0.6832
606. undangundang         : 0.6831
607. bawah                : 0.6804
608. reformasi            : 0.6798
609. lantas               : 0.6798
610. ikn                  : 0.6791
611. ntar                 : 0.6788
612. justru               : 0.6760
613. sukses               : 0.6728
614. sempat               : 0.6721
615. jokowidodo           : 0.6681
616. lee                  : 0.6664
617. jepang               : 0.6658
618. jare                 : 0.6653
619. males                : 0.6653
620. main                 : 0.6631
621. habib                : 0.6631
622. nyaman               : 0.6630
623. giat                 : 0.6606
624. korutt               : 0.6584
625. macam                : 0.6584
626. kaos                 : 0.6578
627. lain                 : 0.6561
628. sudut                : 0.6556
629. gamau                : 0.6531
630. kewarganegaraan      : 0.6530
631. kmren                : 0.6514
632. media                : 0.6509
633. alih                 : 0.6468
634. hahahaha             : 0.6455
635. mlarat               : 0.6448
636. angin                : 0.6444
637. foya                 : 0.6434
638. waduh                : 0.6423
639. live                 : 0.6402
640. mahasiswakuliah      : 0.6397
641. negri                : 0.6363
642. siap                 : 0.6360
643. makanya              : 0.6331
644. indoensia            : 0.6316
645. iya                  : 0.6312
646. plis                 : 0.6308
647. ayem                 : 0.6308
648. aksksks              : 0.6305
649. omon                 : 0.6289
650. ubur                 : 0.6289
651. orasi                : 0.6235
652. mega                 : 0.6233
653. makas                : 0.6191
654. klen                 : 0.6186
655. malem                : 0.6184
656. viral                : 0.6178
657. teriak               : 0.6172
658. pura                 : 0.6137
659. line                 : 0.6123
660. indonesiatapi        : 0.6117
661. segala               : 0.6109
662. hebat                : 0.6096
663. mancing              : 0.6078
664. ages                 : 0.6077
665. tpi                  : 0.6074
666. adu                  : 0.6057
667. terjun               : 0.6056
668. sperti               : 0.6022
669. bidang               : 0.6013
670. hak                  : 0.5994
671. generasi             : 0.5991
672. hampir               : 0.5987
673. joget                : 0.5979
674. grtis                : 0.5971
675. sana                 : 0.5949
676. vouchernya           : 0.5936
677. iblis                : 0.5936
678. terlalu              : 0.5933
679. hati                 : 0.5933
680. laliga               : 0.5924
681. wasit                : 0.5924
682. bnyk                 : 0.5905
683. dagang               : 0.5890
684. kabul                : 0.5889
685. jurus                : 0.5882
686. kawan                : 0.5882
687. kaltim               : 0.5882
688. pikirin              : 0.5873
689. kau                  : 0.5844
690. adik                 : 0.5833
691. haha                 : 0.5825
692. aplg                 : 0.5822
693. hard                 : 0.5812
694. manis                : 0.5809
695. guling               : 0.5792
696. adat                 : 0.5789
697. again                : 0.5782
698. klasifikasi          : 0.5764
699. tekan                : 0.5758
700. kelola               : 0.5723
701. selamat              : 0.5708
702. miris                : 0.5663
703. lemah                : 0.5654
704. informasi            : 0.5628
705. halhal               : 0.5619
706. merah                : 0.5607
707. kelak                : 0.5587
708. kmpang               : 0.5585
709. warung               : 0.5545
710. lancar               : 0.5542
711. iku                  : 0.5531
712. curiga               : 0.5524
713. terima               : 0.5522
714. luhut                : 0.5521
715. mampu                : 0.5493
716. usik                 : 0.5469
717. ngerasa              : 0.5439
718. qau                  : 0.5430
719. woiiii               : 0.5418
720. mohon                : 0.5407
721. kritis               : 0.5381
722. akhirat              : 0.5366
723. ide                  : 0.5353
724. janggal              : 0.5301
725. cipta                : 0.5296
726. diri                 : 0.5281
727. belit                : 0.5277
728. lebaran              : 0.5263
729. weehh                : 0.5263
730. nyari                : 0.5187
731. gtu                  : 0.5155
